Species;Macroclimate;BIO1;BIO2;BIO3;BIO4;BIO5;BIO6;BIO7;BIO8;BIO9;BIO10;BIO11;BIO12;BIO13;BIO14;BIO15;BIO16;BIO17;BIO18;BIO19;"""bio20"""
margareta;Warm Temperate;168.5579505;134.3077261;37.66084632;7876.807876;342.0639024;-15.97858079;358.0424818;218.5867847;73.29327053;266.6134492;63.30691579;1011.252074;145.8835221;40.40727237;37.19897211;366.6445903;148.0047424;303.636985;167.1239532;218.6398479
marilandica;Warm Temperate;156.954332;131.9534875;34.65866333;8514.19833;341.5966993;-34.61113942;376.2078378;211.8807162;51.32143478;263.738151;43.48500812;968.9400261;132.0087746;39.93379812;34.13871188;332.3905883;143.5950823;260.6867458;145.5360441;188.795506
mexicana;Winter-dry temperate to Tropical;161.4952194;148.832227;63.84006338;2595.931311;274.4682711;41.52944375;232.9388266;181.4738448;133.5718358;190.670069;125.1157428;733.7800159;149.67208;12.93980175;76.09582425;374.5442349;47.41869738;247.7553466;53.63265575;327.1255375
michauxii;Warm Temperate;159.1963087;126.6818086;37.84781;7560.89296;322.6177915;-12.63729859;335.2550896;174.1806173;156.9274503;252.9749963;57.82988268;1274.342845;143.9503927;73.07372366;20.27824803;396.349801;247.1977952;336.2573544;312.0099248;149.1520058
microphylla;Arid;153.3141996;160.18195;66.93201836;2230.352679;268.4892476;30.08034564;238.4089033;170.9142831;129.5351793;178.3474482;121.7864409;646.5448675;134.8777411;7.121264909;85.13424182;358.7907936;28.42596836;225.9755329;37.42747927;330.3648252
miquihuanensis;Arid;176.025;153.275;61.31;3535.125;296;42.95;253.05;200.725;141.725;214.175;128.425;589.25;113;14.75;69.0425;274.75;52.25;207.75;53.75;222.5
mohriana;Arid;165.6432121;152.1694157;41.28992357;7655.885425;344.14517;-22.37366571;366.5188348;235.472026;87.49435;261.6547786;64.46993452;537.6554605;86.9807869;17.00207881;54.24533762;214.66096;63.64160667;181.5543014;66.4765531;151.0193533
mongolica;Cold Temperate;106.3656712;97.99883879;28.29238879;9040.139215;274.6818739;-78.01402818;352.6959027;211.5542115;-7.825885758;217.8400052;-15.01419879;1101.776561;212.5035852;25.39495273;77.93415212;549.939967;89.34768576;518.0510152;96.65617394;460.5922812
monimotricha;Winter-dry temperate to Tropical;124.5716632;111.5884568;43.04530032;5319.303444;237.8586813;-22.96415323;260.8228342;185.6359529;51.4679271;186.6056487;50.86109258;961.7565706;217.9164145;5.698092258;91.9249171;566.5374035;25.0327071;558.8463365;25.29530161;541.5046964
montana;Cold Temperate;120.47;118.42;33.09;8436.66;297.92;-54.89;352.81;205.12;25.61;226.9;8.74;1064.6;107.34;72.22;11.86;301.46;229.9;294.92;234.06;71.56
morii;Winter-dry temperate to Tropical;140.8888279;74.44850621;45.33752091;3280.547716;213.9821918;49.78481379;164.1973792;174.7782282;112.7305753;176.9878068;95.55808909;2998.420192;519.7783386;67.85768606;62.40397455;1392.454812;231.4665909;1318.727278;302.2669359;1160.988221
muehlenbergii;Cold Temperate;152.3632468;132.27699;34.53299882;8601.716494;338.2836043;-40.23623908;378.5198421;202.5245455;50.21971776;260.1126212;37.52511934;959.5713907;130.3902055;39.5332925;34.67614211;328.3390559;141.6792116;258.1528833;149.4846064;186.6598443
myrsinifolia;Warm Temperate;139.1317356;88.69006441;28.147055;7713.630344;294.6399032;-16.49904529;311.1389474;225.28713;45.67137647;237.8918285;40.67438618;1572.829461;238.2442944;48.41173647;48.24344765;635.3299479;166.6296385;578.7479218;170.4710044;468.7003094
